DEPARTAMENTO,MUNICIPIO,COD,Terremotos,Inundaciones,Ciclon y Marejadas,Deslizamientos,Sequia,Natural,Violencia,Humano,PELIGRO Y E0.00POSICIoN,Desarrollo y Pobreza,Desigualdad,Dependencia,Vulnerabilidad Socioeconomica,Poblacion Desarraiga,Otros Grupos Vulnerables,Grupos Vulnerables,VULNERABILIDAD,Capacidad de Respuesta,Gobernanza,Institutional,Comunicacion,Infraestructura Fisica,Acceso a Educacion,Infraestructura,FALTA DE CAPACIDAD DE RESPUESTA,INFORM RISK,Rango
Choluteca,San Isidro,613,6.1,4.7,0,9.3,9.5,7.1,0,0,4.4,8.1,9.3,6.8,8.1,0.9,5.8,3.7,6.4,10,8,9.3,8.3,9.4,3.4,7,8.4,6.2,79
El Paraiso,Vado Ancho,717,0,3.3,0,9.4,9.5,6.3,0,0,3.8,9.5,9.1,7.1,8.6,0.8,7.1,4.7,7.1,10,9.1,9.6,9.3,8.7,4.5,7.5,8.8,6.2,79
Francisco Morazan,Guaimaca,806,0,2.8,0,6.1,6.5,3.6,10,10,8.2,6.8,7.5,6.3,6.9,5,4.7,4.9,6,3.3,3.1,3.2,6.4,7.2,4.7,6.1,4.8,6.2,79
La Paz,Cabañas,1203,6.1,0,0,7.1,8.5,6.2,2.5,2.5,4.6,6.9,7.2,8.1,7.4,3.3,7.5,5.8,6.7,8.3,7.8,8.1,8.2,8,4.6,6.9,7.6,6.2,79
La Paz,Mercedes de Oriente,1209,4.9,0,0,9.1,9.3,7.1,0,0,4.4,8.3,7.2,8,7.8,2,7.6,5.5,6.8,8.3,9.2,8.8,4.5,8.9,6.3,6.6,7.9,6.2,79
La Paz,Santa Elena,1216,6.8,0,0,9.7,7.6,6.3,1.5,1.5,4.3,8.3,7.8,8.2,8.1,0.5,7.5,4.9,6.8,8.3,8.5,8.4,9.9,9.6,4.4,8,8.2,6.2,79
Lempira,Virginia,1327,5.7,9.3,0,5.7,9.4,7.1,0,0,4.4,9.2,6.7,7.6,7.8,6.8,7.8,7.3,7.6,6.7,8.8,7.9,5.5,7.7,6.5,6.6,7.3,6.2,79
Ocotepeque,Santa Fe,1414,6.4,0,0,9.4,0,4.7,6.3,6.3,5.6,6.6,7.4,5.9,6.6,4.9,3.9,4.4,5.6,10,5.8,8.7,5.4,6.4,6.3,6,7.6,6.2,79
Olancho,San Francisco de La Paz,1519,0,3.2,0,9.7,0,4.2,6.1,6.1,5.2,7.3,8.2,6.9,7.5,4.3,2.7,3.5,5.9,10,5.7,8.7,7.1,6.6,5.5,6.4,7.7,6.2,79
Santa Barbara,Concepcion del Norte,1607,6.9,0,0,8.8,0,4.4,4.9,4.9,4.7,8.1,8.2,7.3,7.9,1.4,5.8,3.9,6.3,10,8.2,9.3,7,6.4,5.4,6.3,8.2,6.2,79
Santa Barbara,Quimistan,1618,8,4.3,0,7.6,0,4.9,8.9,8.9,7.4,6.6,7,6.4,6.7,2.5,4.1,3.3,5.2,8.3,3.2,6.4,6.9,5.4,5.1,5.8,6.1,6.2,79
Santa Barbara,Nueva Frontera,1628,6.4,0,0,7.9,0,4.5,7.1,7.1,6,8.4,8.7,7.8,8.3,3.8,6,5,7,3.3,5.4,4.4,7.4,6.2,6.8,6.8,5.7,6.2,79
Copan,Cucuyagua,406,7,2.9,0,8.2,5.8,5.5,6.6,6.6,6.1,7.4,7.8,6.1,7.1,6.3,5.4,5.9,6.5,6.7,4,5.5,5.4,6.7,5.9,6,5.8,6.1,92
Choluteca,Orocuina,610,7.6,5.8,0,6.5,9.5,6.8,3.9,3.9,5.5,8,8.4,7,7.8,2.2,5.9,4.3,6.4,6.7,6,6.4,7.5,6.9,5.3,6.6,6.5,6.1,92
Intibuca,La Esperanza,1001,7.2,4.6,0,6.3,0,4.3,8.8,8.8,7.1,5.2,4.8,5.1,5,10,4,8.3,7,6.7,2,4.8,4.7,7.1,1.1,4.3,4.6,6.1,92
La Paz,San Jose,1212,6.9,0,0,5.4,5.8,5,3.9,3.9,4.5,8.6,8,7.5,8,0.7,5.7,3.6,6.3,10,7.1,9,8.3,7.2,3.8,6.4,8,6.1,92
La Paz,Santa Ana,1215,7.2,0,0,8.1,9.7,6.5,0,0,4,8.7,7.6,8.1,8.1,2.3,7.7,5.6,7,10,7.8,9.2,6.1,8.3,6.3,6.9,8.3,6.1,92
Lempira,Tomala,1325,6.6,0,0,9.4,9.7,6.9,1.3,1.3,4.7,7.5,7.2,7.3,7.3,2,6.8,4.8,6.2,10,7.6,9.1,6.8,5.5,4.2,5.5,7.8,6.1,92
Valle,Langue,1707,7.7,9.3,0,3.5,9.7,7.4,0,0,4.7,8.1,8.8,7,8,5.3,5.3,5.3,6.9,6.7,6.4,6.6,8.8,9,4.7,7.5,7.1,6.1,92
Yoro,Yorito,1811,0,0,0,9.9,6.4,5.1,5.1,5.1,5.1,8.7,8.3,7.6,8.2,2.3,6.3,4.6,6.8,3.3,7.2,5.6,8.8,7.4,5.8,7.3,6.5,6.1,92
Atlantida,Jutiapa,104,0,5.2,0,5,0,2.4,8.9,8.9,6.7,6.6,7.3,7.2,7,7.4,3.9,5.9,6.5,3.3,4.2,3.8,7.3,4.8,5.4,5.8,4.9,6,100
Atlantida,Tela,107,9.1,6.1,0,4.8,0,5.1,9.7,9.7,8.2,6,6.4,6.7,6.4,9.1,4.2,7.4,6.9,3.3,1.9,2.6,4.9,5.4,4.7,5,3.9,6,100
Comayagua,La Trinidad,308,6.2,0,0,0,0,1.7,6.4,6.4,4.5,8.1,7.4,8.2,7.9,2.7,5.2,4.1,6.4,8.3,7.6,8,6.8,6.9,6.6,6.8,7.4,6,100
Comayagua,San Jeronimo,313,4.3,5.3,0,6.6,6.2,4.8,4.9,4.9,4.9,7.6,7.3,6.7,7.2,6.9,5.6,6.3,6.8,6.7,5.1,6,7.3,8.6,5.3,7.1,6.6,6,100
Comayagua,San Sebastian,317,6.1,0,0,0,5,2.7,6.5,6.5,4.9,7.6,7.1,6.4,7,3.2,4.3,3.8,5.6,10,4.8,8.5,5.9,8.6,5.4,6.6,7.7,6,100
Copan,La Union,412,6.6,0,0,7.2,6,4.7,7.5,7.5,6.3,7.7,8.3,6.4,7.5,3.3,5.6,4.6,6.3,5,2.9,4,6.1,7,6.6,6.6,5.4,6,100
Copan,San Jeronimo,416,6.4,0,0,9.4,0,4.7,4,4,4.4,7.6,7,6.6,7.1,2.7,7.4,5.5,6.4,10,6.9,8.9,6,6.4,6.1,6.2,7.8,6,100
Copan,San Pedro,420,6.3,0,0,6.8,5.3,4.3,6.8,6.8,5.7,6.2,6.6,5.7,6.2,2.3,6.2,4.5,5.4,10,4.3,8.4,5,5.4,4.8,5.1,7.1,6,100
Copan,Veracruz,423,5.5,3,0,4.1,0,2.8,6.2,6.2,4.7,8.3,7.8,6.7,7.6,1.1,6,4,6.1,10,7.4,9.1,5.9,4.6,5.3,5.3,7.7,6,100
Choluteca,Choluteca,601,9.5,9.8,4.9,6.5,0,7.4,9.3,9.3,8.5,6.2,7.2,5.9,6.4,8.5,4.4,6.9,6.7,3.3,1.9,2.6,4.7,7.2,2.1,4.7,3.7,6,100
Choluteca,Marcovia,607,8.4,10,7.6,0,6.8,7.6,4.9,4.9,6.4,7.7,8.4,7.1,7.7,8.3,3.6,6.5,7.1,3.3,3.3,3.3,6.2,6.9,4.8,6,4.8,6,100
Intibuca,Camasca,1002,6.7,0,0,9.7,9.6,7,0,0,4.4,6.7,9,7.5,7.7,3.8,6.9,5.6,6.8,10,6.1,8.8,7.3,3,3.8,4.7,7.3,6,100
Intibuca,Intibuca,1006,7.7,0,0,8.2,0,4.4,4.2,4.2,4.3,6.9,5.7,7,6.5,1.5,8.7,6.3,6.4,10,3.7,8.2,7.9,8.6,4.8,7.1,7.7,6,100
